event,host_time,onboard_ms,seq,flight_state,baro_alt_m,vspeed_ms
state:PAD,2026-07-06T09:00:00.000+00:00,0,1,PAD,0,0.0
state:BOOST,2026-07-06T09:00:05.000+00:00,5000,21,BOOST,4,17.2
state:COAST,2026-07-06T09:00:07.250+00:00,7250,30,COAST,231,152.1
state:APOGEE,2026-07-06T09:00:23.250+00:00,23250,94,APOGEE,1389,-4.9
state:DROGUE,2026-07-06T09:00:23.500+00:00,23500,95,DROGUE,1385,-15.0
pyro_fired,2026-07-06T09:00:23.500+00:00,23500,95,DROGUE,1385,-15.0
state:MAIN,2026-07-06T09:01:09.500+00:00,69500,279,MAIN,240,-15.5
state:LANDED,2026-07-06T09:01:49.250+00:00,109250,438,LANDED,0,0.0
